,Review_Text,Language,Rating (1-5),Country,Sentiment,Aspect_Focus
220,خدمة سيئة جدا، الطلب لم يصل في الوقت المحدد.,Arabic,1,Algeria,Negative,Delivery Speed
221,"Good prices and tasty food, highly recommend!",English,4,Algeria,Positive,Pricing
222,"La plateforme est bizzare parfois, mais généralement bien.",French,4,Algeria,Positive,App Usability
223,الأكل وصل سريعاً ومغلف بشكل جيد.,Arabic,5,Algeria,Positive,Packaging
224,The delivery person was rude and unprofessional.,English,1,Algeria,Negative,Customer Service
225,Très satisfait de la qualité et de la rapidité.,French,5,Algeria,Positive,Delivery Speed
226,التطبيق سهل ولكن بعض الأوقات لا يعمل.,Arabic,3,Algeria,Positive,App Usability
227,"Food was okay, nothing bnina but acceptable.",English,3,Algeria,Positive,Food Quality
228,Livraison rapide et service client au top!,French,5,Algeria,Positive,Customer Service
229,الأكل بارد والتغليف غير جيد.,Arabic,2,Algeria,Negative,Packaging
230,The prices are a bit high compared to local restaurants.,English,2,Algeria,Negative,Pricing
231,"Tout était parfait, je recommande vivement! 👍",French,5,Algeria,Positive,Order Accuracy
232,توصيل سريع ولكن الطعام لم يكن كما توقعت.,Arabic,3,Algeria,Positive,Food Quality
233,App is user-friendly and easy to navigate.,English,4,Algeria,Positive,App Usability
234,La nourriture était froide et sans goût.,French,1,Algeria,Negative,Food Quality
235,خدمة عملاء ممتازة وسريعة الاستجابة.,Arabic,5,Algeria,Positive,Customer Service
236,Delivery was delayed and the food was incomplete.,English,2,Algeria,Negative,Order Accuracy
237,Les prix sont raisonnables pour la qualité offerte.,French,4,Algeria,Positive,Pricing
238,الأكل لذيذ والتوصيل كان في الوقت المحدد.,Arabic,5,Algeria,Positive,Delivery Speed
239,"The packaging was damaged, and some items were missing.",English,1,Algeria,Negative,Packaging
240,"Service rapide et efficace, merci beaucoup!",French,5,Algeria,Positive,Customer Service
241,التطبيق يتعطل أحياناً مما يسبب مشاكل.,Arabic,2,Algeria,Negative,App Usability
242,Good food but the delivery was a bit slow.,English,3,Algeria,Positive,Delivery Speed
243,La commande est arrivée rapidement et en bon état.,French,5,Algeria,Positive,Order Accuracy
244,الأكل كان مشبعة وكانت الخدمة ممتازة.,Arabic,4,Algeria,Positive,Food Quality
245,The app interface is confusing and not intuitive.,English,2,Algeria,Negative,App Usability
246,Très déçu par la qualité du repas.,French,1,Algeria,Negative,Food Quality
247,خدمة رائعة والأسعار مناسبة جداً.,Arabic,5,Algeria,Positive,Pricing
248,La livraison était barda et le repas était délicieux!,French,5,Algeria,Positive,Food Quality
249,الأكل بارد والمغلف سيء جداً.,Arabic,1,Algeria,Negative,Packaging
250,"Great app usability, easy to place orders.",English,4,Algeria,Positive,App Usability
251,La nourriture n'était pas bnina comme d'habitude.,French,2,Algeria,Negative,Food Quality
252,التوصيل سريع والأكل لذيذ.,Arabic,5,Algeria,Positive,Delivery Speed
253,The order was missing items and took too long to resolve.,English,1,Algeria,Negative,Order Accuracy
254,Service client efficace et sympathique.,French,5,Algeria,Positive,Customer Service
255,الأكل كان مش بطال ولكن لم يكن طازجاً.,Arabic,3,Algeria,Positive,Food Quality
256,Prices are a bit high but the food is worth it.,English,4,Algeria,Positive,Pricing
257,La livraison a été retardée et le repas froid.,French,2,Algeria,Negative,Delivery Speed
258,التطبيق سهل الاستخدام لكن هناك بعض المشاكل.,Arabic,3,Algeria,Positive,App Usability
259,Food quality has declined recently.,English,2,Algeria,Negative,Food Quality
260,La commande était correcte et arrivée à temps.,French,5,Algeria,Positive,Order Accuracy
261,الأكل وصل بارد ولم يكن لذيذاً.,Arabic,2,Algeria,Negative,Food Quality
262,"Excellent packaging, nothing was spilled.",English,5,Algeria,Positive,Packaging
263,La nourriture était ok mais le service client est mauvais.,French,2,Algeria,Negative,Customer Service
264,خدمة التوصيل بطيئة جداً.,Arabic,1,Algeria,Negative,Delivery Speed
265,The app is intuitive and works smoothly.,English,4,Algeria,Positive,App Usability
266,La livraison a été rapide et le repas était bnina.,French,5,Algeria,Positive,Delivery Speed
267,الأكل كان مش طيب كما توقعت.,Arabic,2,Algeria,Negative,Food Quality
268,Affordable prices and good food quality.,English,4,Algeria,Positive,Pricing
269,La nourriture était fraîche et bien emballée.,French,5,Algeria,Positive,Packaging
270,خدمة عملاء سيئة ولم يتم حل مشكلتي.,Arabic,1,Algeria,Negative,Customer Service
271,The food was delivered on time and was tasty.,English,5,Algeria,Positive,Delivery Speed
272,La plateforme a des bugs fréquents.,French,2,Algeria,Negative,App Usability
273,الأكل وصل في الوقت المحدد وكانت الأسعار مناسبة.,Arabic,5,Algeria,Positive,Pricing
274,The delivery was cold and the food was stale.,English,1,Algeria,Negative,Food Quality
275,Très bon service et nourriture délicieuse.,French,5,Algeria,Positive,Food Quality
276,التطبيق صعب الاستخدام ويتعطل كثيراً.,Arabic,2,Algeria,Negative,App Usability
277,Good customer service and reliable delivery.,English,4,Algeria,Positive,Customer Service
278,La nourriture n'était pas à la hauteur des attentes.,French,2,Algeria,Negative,Food Quality
279,الأكل طيب ولكن التغليف كان سيء.,Arabic,3,Algeria,Positive,Packaging
280,The prices are too high for the portion sizes.,English,2,Algeria,Negative,Pricing
281,Livraison rapide et nourriture fraîche.,French,5,Algeria,Positive,Delivery Speed
282,خدمة التوصيل ممتازة والأسعار جيدة.,Arabic,5,Algeria,Positive,Pricing
283,The food arrived late and was cold.,English,1,Algeria,Negative,Delivery Speed
284,La commande était complète et correcte.,French,5,Algeria,Positive,Order Accuracy
285,الأكل ليس بطعمي المفضل.,Arabic,2,Algeria,Negative,Food Quality
286,"Affordable and tasty meals, will order again.",English,4,Algeria,Positive,Pricing
287,La livraison était lente et le repas froid.,French,1,Algeria,Negative,Delivery Speed
288,التطبيق يعمل بشكل جيد معظم الوقت.,Arabic,4,Algeria,Positive,App Usability
289,"Food quality has declined, not satisfied.",English,2,Algeria,Negative,Food Quality
290,Très bon rapport qualité-prix.,French,5,Algeria,Positive,Pricing
291,الأكل وصل في الوقت المحدد وكان لذيذاً.,Arabic,5,Algeria,Positive,Delivery Speed
292,The app is buggy and hard to use.,English,1,Algeria,Negative,App Usability
293,La nourriture était excellente et bien présentée.,French,5,Algeria,Positive,Food Quality
294,الأكل ليس طازجاً كما كنت أتمنى.,Arabic,2,Algeria,Negative,Food Quality
295,Good service and the food was tasty.,English,4,Algeria,Positive,Customer Service
296,La livraison a été retardée sans raison.,French,2,Algeria,Negative,Delivery Speed
297,الأكل وصل بسرعة وكان طيباً.,Arabic,5,Algeria,Positive,Delivery Speed
298,"La commande est arrivée en un temps record, merci!",French,5,Algeria,Positive,Delivery Speed
299,الأكل وصل متأخراً وكان غير ساخن.,Arabic,2,Algeria,Negative,Delivery Speed
300,The food was fresh and tasted great.,English,5,Algeria,Positive,Food Quality
301,La plateforme est parfois lente à charger.,French,3,Algeria,Positive,App Usability
302,خدمة التوصيل ممتازة والأسعار معقولة.,Arabic,5,Algeria,Positive,Pricing
303,The order was wrong and the customer service was unhelpful.,English,1,Algeria,Negative,Order Accuracy
304,La nourriture était savoureuse et bien emballée.,French,5,Algeria,Positive,Food Quality
305,الأكل بارد ولم يكن جيداً كما توقعت.,Arabic,2,Algeria,Negative,Food Quality
306,Great variety of food options available.,English,4,Algeria,Positive,Food Quality
307,La livraison a été rapide mais le repas était moyen.,French,3,Algeria,Positive,Delivery Speed
308,الأكل طيب ولكن التغليف كان سيء.,Arabic,3,Algeria,Positive,Packaging
309,The app is easy to use and efficient.,English,5,Algeria,Positive,App Usability
310,La commande a été incorrecte et j'ai dû attendre longtemps.,French,2,Algeria,Negative,Order Accuracy
311,الأكل وصل بسرعة وكان بنين جداً.,Arabic,5,Algeria,Positive,Delivery Speed
312,The food was decent but not exceptional.,English,3,Algeria,Positive,Food Quality
313,La livraison était lente et le repas était froid.,French,1,Algeria,Negative,Delivery Speed
314,الأكل لذيذ والتغليف ممتاز.,Arabic,5,Algeria,Positive,Food Quality
315,"The app often crashes, making it difficult to order.",English,1,Algeria,Negative,App Usability
316,La nourriture était excellente et le service rapide.,French,5,Algeria,Positive,Food Quality
317,الأكل وصل بارد ولم يكن طازجاً.,Arabic,2,Algeria,Negative,Food Quality
318,Good prices for the quality of food.,English,4,Algeria,Positive,Pricing
319,La commande est arrivée en bon état et rapidement.,French,5,Algeria,Positive,Order Accuracy
320,الأكل كان طيب ولكن التوصيل كان بطيئاً.,Arabic,3,Algeria,Positive,Delivery Speed
321,The food was not as advertised.,English,2,Algeria,Negative,Food Quality
322,La plateforme est fiable et facile à utiliser.,French,5,Algeria,Positive,App Usability
323,الأكل وصل في الوقت المحدد وكان طازجاً.,Arabic,5,Algeria,Positive,Delivery Speed
324,The delivery was prompt and the food was delicious.,English,5,Algeria,Positive,Delivery Speed
325,La livraison a été retardée sans explication.,French,2,Algeria,Negative,Delivery Speed
326,الأكل كان بنين ولكن الخدمة كانت سيئة.,Arabic,2,Algeria,Negative,Customer Service
327,The app is user-friendly and reliable.,English,5,Algeria,Positive,App Usability
328,La nourriture était fraîche et savoureuse.,French,5,Algeria,Positive,Food Quality
329,الأكل وصل بارد وغير طازج.,Arabic,2,Algeria,Negative,Food Quality
330,Great selection of restaurants available.,English,4,Algeria,Positive,Food Quality
331,La commande est arrivée en bon état mais était tard.,French,3,Algeria,Positive,Order Accuracy
